x,y
0.0,0.03332698957697558
0.1,0.044762358105069976
0.2,0.05952328398817518
0.3,0.07836422900829002
0.4,0.10214236299715515
0.5,0.13181079830443884
0.6,0.1684042831524644
0.7,0.21301605024950362
0.8,0.26676483022783565
0.9,0.33075153182738887
1.0,0.4060057631831153
1.1,0.4934232022207348
1.2,0.5936957773278572
1.3,0.7072376268333648
1.4,0.8341107805722132
1.5,0.9739553460170731
1.6,1.1259295748424112
1.7,1.288665427251434
1.8,1.4602450523474675
1.9,1.6382029057842447
2.0,1.8195570165740058
2.1,2.0008712307446337
2.2,2.1783481932277353
2.3,2.347950525940703
2.4,2.5055453070430165
2.5,2.6470647677522265
2.6,2.7686743182068083
2.7,2.8669377936418914
2.8,2.9389693357814597
2.9,2.9825616890050313
3.0,2.9962819174249398
3.1,2.979527575983854
3.2,2.932539054947803
3.3,2.8563669537424907
3.4,2.752796669225315
3.5,2.6242356229495862
3.6,2.4735714214277653
3.7,2.3040114900952164
3.8,2.118916142780113
3.9,1.9216375081758144
4.0,1.7153761752042092
4.1,1.5030658649400825
4.2,1.287293994024948
4.3,1.0702628444869102
4.4,0.8537924433664885
4.5,0.6393624780470003
4.6,0.42818695607407664
4.7,0.22131219552527281
4.8,0.01972641788378406
4.9,-0.1755320263239682
5.0,-0.3632807565052798
5.1,-0.5421254062785518
5.2,-0.7104266358238387
5.3,-0.8663074821269252
5.4,-1.007702051100232
5.5,-1.1324419285080929
5.6,-1.238372314100549
5.7,-1.3234862847936038
5.8,-1.3860632232732195
5.9,-1.424796633424262
6.0,-1.438897446952366
6.1,-1.428161438915961
6.2,-1.392993235481914
6.3,-1.3343841580389253
6.4,-1.253846227141662
6.5,-1.15330942921193
6.6,-1.0349932529328818
6.7,-0.9012660757548469
6.8,-0.7545069478124107
6.9,-0.5969836145667097
7.0,-0.4307583836392975
7.1,-0.25762999785215784
7.2,-0.07911547409812501
7.3,0.10352858438941558
7.4,0.2892498943814235
7.5,0.47711782135340153
7.6,0.6662248335672915
7.7,0.8555840821997633
7.8,1.0440351552408706
7.9,1.2301689287568867
8.0,1.4122803274721305
8.1,1.5883549647890538
8.2,1.7560923589856596
8.3,1.912965027243377
8.4,2.0563095376421785
8.5,2.183442811533726
8.6,2.291794824588613
8.7,2.379047502966636
8.8,2.4432691322563103
8.9,2.483034001087281
9.0,2.497518229003257
9.1,2.486564655494769
9.2,2.450712116221494
9.3,2.3911871863299776
9.4,2.3098592916792833
9.5,2.209162739455252
9.6,2.0919914847941614
9.7,1.9615741559647637
9.8,1.8213378906910929
9.9,1.6747698399262223
10.0,1.5252847906796068
10.1,1.3761063270943448
10.2,1.2301674204678639
10.3,1.090034479931036
10.4,0.9578568863526675
10.5,0.8353420485478587
10.6,0.7237542179847886
10.7,0.6239337984730349
10.8,0.5363327758249712
10.9,0.4610612183216605
11.0,0.3979395824364007
11.1,0.34655180151120113
11.2,0.30629482883768944
11.3,0.27642142902384986
11.4,0.25607450992321945
11.5,0.2443130421264234
11.6,0.24013139502404074
11.7,0.2424753709340396
11.8,0.2502589065316049
11.9,0.26238496639124237
12.0,0.27777249128897874
12.1,0.29538875116689933
12.2,0.31428388728260914
12.3,0.3336227531271427
12.4,0.35270902908232354
12.5,0.37099801710958175
12.6,0.3880969184474536
12.7,0.4037538598708098
12.8,0.41783869861410206
12.9,0.4303193561034897
13.0,0.4412371955586877
13.1,0.45068411992445523
13.2,0.45878302265361753
13.3,0.46567227336263156
13.4,0.47149421581000245
13.5,0.47638722665469896
13.6,0.4804806869679083
13.7,0.48389218461051925
13.8,0.48672632697233176
13.9,0.48907464845185067
14.0,0.4910162116518844
14.1,0.49261860679328107
14.2,0.49393914203855693
14.3,0.4950260864149517
14.4,0.495919878352349
14.5,0.4966542494324835
14.6,0.49725723798855875
14.7,0.49775208362400936
14.8,0.49815800396041504
14.9,0.49849086086870725
15.0,0.49876372649663203
