x1,x2,y_high
0.3,-1.0,0.005503389
0.5,-1.0,0.005747966
0.4,-1.0,0.00556979
0.3,0.0,0.005162798
0.3,25.0,0.398103648
0.5,25.0,0.447189066
0.3,10.0,0.002157815
0.5,10.0,0.061331003
0.4,-5.0,0.00795903
0.3,18.0,0.214278883
0.3,9.5,0.001939358
0.4,25.0,0.415300042
0.4,24.0,0.360341713
0.4,13.0,0.100836113
0.4,21.0,0.334616286
0.5,18.0,0.250434595
0.4,18.0,0.217105636
0.5,-5.0,0.00819712
0.4,8.0,0.005021583
0.4,5.0,0.005484254
0.5,8.0,0.021402189
0.3,21.0,0.321266871
0.5,5.0,0.006522533
0.5,22.0,0.3772262695
0.5,4.0,0.006142651
0.3,-5.0,0.007746682
0.3,-4.0,0.006758387
0.5,14.5,0.191264583
0.4,14.5,0.1662570085
0.3,4.0,0.00516604
0.4,15.0,0.200935231
0.5,2.0,0.005670255
0.4,16.0,0.207684585
0.3,14.5,0.127261378
0.3,14.0,0.111684669
0.5,24.0,0.393161026
0.3,24.0,0.379888741
0.3,2.0,0.005064921
0.3,23.0,0.353244506
0.4,2.0,0.005296604
0.4,1.0,0.005125228
0.5,11.0,0.090268923
0.5,12.0,0.111534527
0.5,20.0,0.346782522
0.4,20.0,0.246309925
0.4,23.0,0.382344239
0.3,20.0,0.238382867
0.5,23.0,0.388884429
0.3,19.0,0.222915337
0.3,22.0,0.332168786
0.3,17.0,0.21596778
0.4,22.0,0.381816094
0.5,21.0,0.36556811
0.5,19.0,0.304162682
0.5,17.0,0.248382963
0.5,-4.0,0.007163138
0.5,16.0,0.23003922
0.3,7.0,0.003552665
0.3,16.0,0.1785060465
0.4,-4.0,0.007033734
0.3,15.0,0.141044313
0.3,-3.0,0.006322619
0.3,6.0,0.004152956
0.5,10.5,0.078841935
